x,y,arg
14.464136,19.162844,0
18.970764,11.732913,0
16.422932,-10.82237,0
4.287638,-7.260695,0
0.2055575,6.996815,2
1.6063393,-8.311264,0
-0.24702668,11.535158,2
4.116621,19.136919,0
-1.2588198,10.559262,2
5.671667,12.717955,0
8.324128,16.04899,0
17.900179,6.739579,0
20.150696,-2.545853,0
10.423316,-10.716815,2
-1.2873719,-1.2593986,0
-8.401286,20.637693,1
-14.694394,11.164151,1
1.3394773,-10.567713,1
1.2174178,1.9833881,1
0.29896957,5.2520905,2
5.092373,-8.052912,1
14.071443,16.712215,0
15.215838,13.838474,0
8.61816,-7.4502788,0
12.491106,-10.177083,2
13.615853,-0.6692046,0
10.905947,22.115286,0
18.940607,8.636029,0
6.8865457,-4.223386,2
10.764012,-0.4377189,0
10.919934,22.105715,0
18.94894,8.643633,0
6.8821244,-4.224182,2
10.752185,-0.436347,0
15.951677,16.326708,0
19.47611,7.279,0
19.339844,3.7041466,0
17.865149,-4.4553967,0
15.052952,-13.697774,2
4.7152143,-4.0558996,0
9.22644,17.67026,0
10.129732,4.2509413,0
15.94108,2.6027033,0
9.834593,-8.796254,0
10.915558,2.7769225,0
3.070239,-16.381588,0
-1.9664279,15.750146,2
-2.696245,6.9553127,1
-7.0113034,-2.9797091,2
1.731901,9.322592,2
17.480137,11.909454,0
14.15185,-2.8219082,0
9.677241,-15.399415,2
3.0929446,6.9152517,0
11.389484,19.282671,0
23.310385,-0.081696585,0
12.031155,-7.79461,2
12.42573,-1.2538407,0
8.872348,4.986364,0
13.123043,10.223315,2
6.5979195,0.07402263,0
2.7802143,16.833035,1
-16.941307,-2.2860394,1
-15.286205,-0.26941872,1
0.6080347,8.402686,2
8.998752,1.7601719,1
-8.196091,10.184931,1
-12.555152,2.6261895,1
-5.8985467,-0.124448895,1
-3.6299047,-6.628933,2
5.6408467,-9.9840555,1
-8.786675,16.942905,1
-0.71846044,13.8639345,1
-2.549534,-11.250487,2
9.283199,3.5157998,2
5.7204247,13.928154,1
-0.5038335,3.876616,2
3.6058905,2.1603858,0
18.364075,13.623382,0
21.783587,0.9909319,0
20.558474,-2.8092108,0
10.824178,-4.766428,2
9.220214,-5.6863546,0
4.132035,2.5166438,2
7.6760373,21.740082,0
18.394316,13.6011915,0
21.875576,1.0673729,0
15.359451,-3.7606823,0
10.879036,-4.691169,2
9.232844,-5.698003,0
-11.914516,14.275166,2
1.206799,10.547612,2
15.105911,11.699458,0
18.968958,7.5904794,0
19.22362,3.6465507,0
26.503254,-4.9869514,0
15.326736,-13.870622,2
4.742999,-4.0369873,0
4.0185776,22.776749,0
21.32096,6.5408826,0
25.02679,0.6581921,0
6.25007,-3.5570726,0
-0.53445023,-6.2321906,2
1.7722644,-5.5129027,1
9.0423355,12.773682,1
-0.031765714,9.467695,1
-9.397633,5.7831354,1
-11.1038685,4.087446,1
-7.3188252,2.061726,2
-7.724182,-1.7533526,1
3.177111,8.995866,1
3.2781427,8.613422,2
3.2568536,8.721169,2
-5.9335594,6.76764,1
-17.276447,3.2019064,2
-8.817095,9.200701,0
2.7437272,16.79413,1
-16.973175,-2.3170903,1
-15.318736,-0.23604876,1
-6.7925754,-5.7053795,2
9.016745,1.8887064,1
7.3877316,19.982681,0
22.355131,2.2315598,0
18.508972,-7.31309,0
14.027474,-4.1357126,2
1.8564025,-1.7751565,2
6.3814435,21.882952,0
23.152939,6.606905,0
1.8388234,19.334085,0
20.990057,9.343374,0
13.053058,-2.533734,0
21.06902,-6.441612,2
7.754374,4.5285897,0
10.600107,5.1635585,0
11.397774,4.116478,2
10.026051,6.348872,0
-3.7745218,18.760647,1
-8.027778,6.061865,2
-8.917706,9.284385,0
9.231377,17.660446,0
10.157641,4.267686,0
15.927493,2.6005564,0
9.819477,-8.811629,0
10.974831,2.8105717,0
3.1028764,-16.3841,0
-1.9676164,15.75093,2
-2.6942751,6.963479,1
-6.9814515,-3.0203166,2
1.7313522,9.324553,2
15.141119,11.728211,0
18.902405,7.658612,0
19.23396,3.6211393,0
8.071765,-1.3021175,0
15.10487,-13.74964,2
4.704333,-4.063392,0
0.390987,26.677864,1
-14.018043,13.702148,1
-4.4756856,-2.7516656,1
-5.102897,-3.895435,1
-8.520175,-9.18409,2
-4.8746185,-1.7519393,1
7.1400666,19.728785,0
26.962671,12.543856,0
17.995663,-7.573881,0
14.642971,-11.429864,2
5.703204,-5.3432393,2
4.814467,8.837766,1
4.7417536,7.8570185,2
4.6995974,-1.3113667,0
-0.59109,19.216637,1
0.8146175,-4.1895394,2
-1.4277536,-2.537984,0
6.018225,16.508696,1
-10.421593,1.4317262,1
-8.978674,-7.074738,2
5.122438,-0.27285105,2
6.9962125,8.9181795,0
20.708363,1.7492073,0
13.189836,-6.562719,2
2.5782104,2.233989,0
10.092777,10.731294,2
0.70531136,10.370567,2
-3.3015904,14.474427,0
10.886656,8.800554,0
22.603544,15.626679,0
26.298227,2.3501565,0
-1.446334,4.5584745,0
12.889362,-4.7700133,2
5.269818,1.6205429,0
11.939363,13.072292,0
12.874279,5.8611393,0
15.348392,2.3605478,0
15.415028,1.1636643,0
10.232212,2.407544,2
5.1988425,4.5102086,2
-7.435958,13.992775,1
-6.2017784,12.718982,1
-6.010816,-6.8029747,1
-5.2075124,-10.503145,2
-0.57817954,-7.3064566,1
3.2821229,8.585365,2
1.3485823,21.716986,0
4.406992,25.992176,0
13.512108,13.531869,0
19.19184,0.25954908,0
7.200036,5.527696,0
8.077952,9.099579,0
0.8770844,-1.8290323,2
7.521699,-0.07391852,0
-9.809952,7.7190294,1
5.593345,-2.6942022,2
3.654952,0.1710365,1
-9.512726,11.008118,1
-0.6791032,13.90896,1
-2.5533657,-11.246918,2
3.9948921,-5.1668878,2
6.752751,14.510665,1
7.7416487,11.928542,1
1.9775069,-0.21265614,2
-2.5414586,-8.233844,0
7.272547,2.5415385,2
